Epoch,Train_Loss,Test_Accuracy
1,1.9342490261514753,66.83
2,1.3765089876821082,72.28
3,1.1188637976530493,74.71
4,0.9871726701142158,75.13
5,0.9064982454134575,76.03
6,0.8530208277382,76.21
7,0.8150892455609884,77.44
8,0.7920616956490855,77.85
9,0.7736944167261618,77.95
10,0.7531844214300887,78.3
11,0.7447689952220355,78.55
12,0.7276525057361283,78.09
13,0.7180720774775046,78.72
14,0.7073031226107499,78.41
15,0.7028805082681769,78.87
16,0.6950405316709786,79.13
17,0.6907169184124935,78.85
18,0.6811346505421213,79.06
19,0.6751226079021595,78.89
